timestamp,external-temperature,month,day,longitude,latitude,altitude
2008-03-12 20:02:22,13.0,3,12,11.00355,46.007409,1091.75
2008-03-13 00:01:24,11.0,3,13,11.0029699,46.0079139,1090.38
2008-03-13 04:02:23,12.0,3,13,11.0038147,46.007109,1086.42
2008-03-13 08:02:42,10.0,3,13,11.0032793,46.0071642,1015.16
2008-03-13 12:02:37,23.0,3,13,11.005205,46.0065473,1084.16
2008-03-13 16:01:43,20.0,3,13,11.008475,46.0067122,1083.14
2008-03-13 20:02:23,16.0,3,13,11.0079356,46.0063248,1144.17
2008-03-14 00:01:23,13.0,3,14,11.009242,46.0047475,1178.64
2008-03-14 04:03:05,10.0,3,14,11.0195122,46.0067062,1178.3
2008-03-14 08:01:56,12.0,3,14,11.0595747,46.0086226,1397.95
2008-03-14 12:02:21,19.0,3,14,11.056467,46.0078148,1397.08
2008-03-14 16:00:54,20.0,3,14,11.0561879,46.0084919,1521.79
2008-03-14 20:01:53,10.0,3,14,11.0544833,46.0083652,1549.28
2008-03-15 00:03:05,12.0,3,15,11.0573912,46.0090896,1549.37
2008-03-15 04:02:21,9.0,3,15,11.0560603,46.0078297,1548.38
2008-03-15 08:01:37,17.0,3,15,11.0561315,46.0083735,1555.34
2008-02-27 08:03:04,12.0,2,27,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-27 12:01:53,18.0,2,27,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-27 16:03:05,14.0,2,27,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-27 20:02:47,14.0,2,27,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-28 00:01:48,13.0,2,28,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-28 04:01:54,16.0,2,28,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-28 08:02:12,11.0,2,28,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-28 12:01:56,18.0,2,28,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-28 16:01:17,16.0,2,28,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-28 20:01:41,17.0,2,28,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-29 00:02:24,13.0,2,29,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-29 04:02:17,10.0,2,29,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-29 08:02:58,14.0,2,29,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-29 12:01:44,22.0,2,29,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-29 16:01:39,15.0,2,29,10.981444358825684,46.006832122802734,705.0753784179688
2008-02-29 20:01:51,13.0,2,29,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-01 00:02:11,13.0,3,1,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-01 04:01:42,12.0,3,1,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-01 08:02:13,16.0,3,1,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-01 12:02:21,25.0,3,1,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-01 16:03:08,19.0,3,1,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-01 20:02:55,14.0,3,1,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-02 00:00:55,15.0,3,2,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-02 04:00:55,12.0,3,2,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-02 08:02:42,15.0,3,2,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-02 12:01:52,20.0,3,2,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-02 16:02:10,23.0,3,2,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-02 20:01:12,14.0,3,2,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-03 00:00:53,16.0,3,3,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-03 04:00:55,13.0,3,3,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-03 08:01:56,13.0,3,3,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-03 12:02:24,21.0,3,3,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-03 16:01:53,19.0,3,3,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-03 20:01:24,17.0,3,3,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-04 00:00:56,19.0,3,4,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-04 04:00:43,17.0,3,4,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-04 08:02:50,8.0,3,4,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-04 12:01:51,13.0,3,4,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-04 16:01:24,9.0,3,4,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-04 20:03:02,11.0,3,4,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-05 00:01:56,14.0,3,5,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-05 04:02:27,9.0,3,5,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-05 08:01:42,9.0,3,5,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-05 12:03:03,12.0,3,5,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-05 16:03:12,12.0,3,5,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-05 20:03:05,6.0,3,5,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-06 00:03:05,8.0,3,6,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-06 04:00:55,7.0,3,6,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-06 08:02:51,10.0,3,6,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-06 12:01:52,14.0,3,6,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-06 16:01:24,15.0,3,6,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-06 20:01:38,11.0,3,6,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-07 00:00:54,10.0,3,7,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-07 04:00:49,14.0,3,7,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-07 20:03:07,14.0,3,7,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-08 00:01:53,16.0,3,8,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-08 04:01:54,16.0,3,8,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-08 08:00:50,16.0,3,8,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-08 12:00:53,17.0,3,8,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-08 16:02:45,14.0,3,8,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-08 20:00:55,17.0,3,8,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-09 00:00:56,16.0,3,9,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-09 04:00:52,12.0,3,9,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-09 08:01:20,14.0,3,9,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-09 12:03:04,15.0,3,9,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-09 16:03:04,14.0,3,9,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-09 20:01:21,15.0,3,9,10.981444358825684,46.006832122802734,705.0753784179688
