timestamp,longitude,latitude,external-temperature,gps:dop,gps:fix-type,altitude,tag-voltage
2010-03-06 01:00:43,-111.42416870027805,56.8443051009922,7.0,3.6,3,198.97,3440.0
2010-03-06 04:00:53,-111.42483749998576,56.84445420122035,4.0,3.0,3,214.4,3360.0
2010-03-06 07:00:53,-111.42487109957716,56.84468760045512,1.0,2.4,3,204.59,3360.0
2010-03-06 10:00:44,-111.42545619999,56.84465530067418,0.0,2.4,3,212.91,3360.0
2010-03-06 13:00:43,-111.4249642000897,56.843966001189216,-1.0,2.2,3,215.28,3360.0
2010-03-06 16:00:47,-111.42453599962944,56.84313710076821,3.0,6.4,3,190.77,3360.0
2010-03-06 19:00:53,-111.42459160044562,56.84322600062964,11.0,2.2,3,220.14,3440.0
2010-03-06 22:00:53,-111.42448629930684,56.84340890073044,11.0,2.8,3,221.17,3440.0
2010-03-07 01:00:53,-111.4243205007525,56.8430767010272,11.0,3.0,3,241.75,3440.0
2010-03-07 04:00:44,-111.42347580066108,56.84190480069589,6.0,2.8,3,217.12,3440.0
2010-03-07 07:00:44,-111.42347469932966,56.842000500932855,4.0,2.6,3,213.74,3440.0
2010-03-07 10:01:17,-111.4239236993112,56.842353201261545,1.0,4.8,3,201.22,3360.0
2010-03-07 13:00:43,-111.42395539942936,56.84242880115352,1.0,3.8,3,235.13,3360.0
2010-03-07 16:00:44,-111.42366479952592,56.84277220100107,2.0,7.2,3,216.12,3360.0
2010-03-07 19:00:44,-111.42357720018468,56.84275110051277,15.0,2.4,3,222.44,3440.0
2010-03-07 22:01:11,-111.38306170014552,56.83826860053657,15.0,4.8,3,321.63,3440.0
2010-03-08 01:00:43,-111.37356929956458,56.83670750080288,12.0,2.2,3,324.13,3440.0
2010-03-08 04:00:43,-111.3733385002089,56.83667950041307,7.0,3.0,3,324.98,3440.0
2010-03-08 07:00:48,-111.37294650081984,56.83664810106206,4.0,2.8,3,326.07,3360.0
2010-03-08 10:00:26,-111.37312230048404,56.83666460106987,2.0,3.0,3,318.89,3440.0
2010-03-08 13:00:44,-111.37360510041776,56.83653440071134,2.0,3.2,3,329.56,3360.0
2010-03-08 16:00:43,-111.37351090024978,56.83650250075176,6.0,2.4,3,325.91,3360.0
2010-03-08 19:00:41,-111.37329600053462,56.83641160114896,10.0,2.6,3,326.55,3440.0
2010-03-08 22:00:47,-111.37229780029692,56.8364178011356,8.0,2.2,3,321.32,3440.0
2010-03-09 01:00:43,-111.37311769999197,56.83736450050624,5.0,3.4,3,324.11,3440.0
2010-03-09 04:00:44,-111.37323370011666,56.83684640123247,4.0,2.0,3,333.14,3360.0
2010-03-09 07:00:47,-111.37375770077978,56.83696670093106,1.0,3.0,3,319.6,3360.0
2010-03-09 10:00:43,-111.37363700039684,56.836658200868335,2.0,2.4,3,326.53,3360.0
2010-03-09 13:00:48,-111.37372050023376,56.836570500864426,-3.0,2.0,3,332.91,3360.0
2010-03-09 16:00:25,-111.3745303995994,56.8364661009054,-1.0,3.0,3,324.97,3360.0
2010-03-09 19:00:24,-111.3751850995728,56.83616500087899,6.0,2.6,3,327.77,3360.0
2010-03-09 22:00:42,-111.37515589919514,56.83607480049716,7.0,2.4,3,330.75,3360.0
