timestamp,longitude,latitude,external-temperature,altitude
2010-03-06 01:00:48,-111.4100531998206,57.127261100929424,10.0,301.86
2010-03-06 04:00:43,-111.4080913006286,57.1266740010313,8.0,304.82
2010-03-06 07:00:47,-111.40793820069804,57.12661710051021,5.0,298.21
2010-03-06 10:00:51,-111.40792610069396,57.12662740070005,4.0,303.42
2010-03-06 13:00:47,-111.4046046996972,57.12611030107954,2.0,296.58
2010-03-06 16:00:53,-111.40572510031517,57.126815800944215,2.0,291.05
2010-03-06 19:00:43,-111.40429729930077,57.12851810049638,10.0,304.27
2010-03-06 22:00:44,-111.40414960051672,57.12854290079559,12.0,300.1
2010-03-07 01:01:43,-111.40604070081356,57.129715100514304,9.0,291.94
2010-03-07 04:00:44,-111.40978060028276,57.129842601078,5.0,299.43
2010-03-07 07:00:41,-111.41049639966504,57.13027700103922,2.0,296.75
2010-03-07 10:00:50,-111.41059550001935,57.130452100843925,4.0,293.67
2010-03-07 13:00:54,-111.41148679958296,57.13061680053324,0.0,305.63
2010-03-07 16:00:54,-111.4086365000074,57.13164320070212,4.0,304.4
2010-03-07 19:00:47,-111.40887730048355,57.1318353011634,9.0,314.39
2010-03-07 22:00:43,-111.40977649974624,57.131690201268206,13.0,301.02
2010-03-08 01:01:11,-111.4109725005198,57.13162000112348,9.0,291.78
2010-03-08 04:00:44,-111.41199170010135,57.130712701160576,5.0,304.68
2010-03-08 07:00:48,-111.4118594006456,57.13074450112988,5.0,302.39
2010-03-08 10:00:44,-111.41080310040088,57.131566400502926,3.0,320.64
2010-03-08 13:00:47,-111.41079499937072,57.13138280107986,4.0,306.46
2010-03-08 16:00:49,-111.41063369999856,57.13237320115964,4.0,295.92
2010-03-08 19:00:53,-111.4085825004648,57.13244750064105,10.0,312.01
2010-03-08 22:00:55,-111.41018480066845,57.133371300683166,8.0,297.91
2010-03-09 01:00:54,-111.41079580077702,57.1332066004665,9.0,282.39
2010-03-09 04:00:50,-111.41260900017124,57.133227100432585,4.0,299.95
2010-03-09 07:00:41,-111.4127509002035,57.132788101252615,0.0,289.87
2010-03-09 10:00:41,-111.41303790051984,57.13351660086415,-2.0,293.41
2010-03-09 13:00:26,-111.41305390066844,57.13353660090884,-2.0,307.45
2010-03-09 16:00:47,-111.40751790065195,57.13357200079899,0.0,298.95
2010-03-09 19:00:50,-111.40756129965696,57.13360330077189,6.0,312.18
2010-03-09 22:00:48,-111.40610670044394,57.13307260098443,13.0,301.55
2010-03-10 01:01:48,-111.40906229945148,57.132802300921696,7.0,297.18
2010-03-10 04:00:44,-111.41406999978751,57.13396570082821,0.0,299.2
2010-03-10 07:00:48,-111.4139284007012,57.13399750040092,5.0,294.53
2010-03-10 10:00:54,-111.41537470013044,57.13357950087784,5.0,305.56
2010-03-10 13:00:43,-111.41556789978274,57.133538300997806,4.0,299.0
2010-03-10 16:00:53,-111.41647699994591,57.13340610044667,5.0,300.17
2010-03-10 19:00:41,-111.41653589985052,57.11886390054365,7.0,300.25
2010-03-10 22:00:53,-111.41658979917834,57.11875060057282,11.0,310.79
2010-03-11 01:00:53,-111.41648290004576,57.11883650106621,9.0,330.8
2010-03-11 04:00:44,-111.4469713995441,57.12173500071924,3.0,299.55
2010-03-11 07:01:17,-111.44793110012512,57.12231670066274,2.0,293.4
2010-03-11 10:00:47,-111.4474828005758,57.12182160104812,3.0,305.23
2010-03-11 13:00:50,-111.44757170028622,57.12250960101592,2.0,312.86
2010-03-11 16:00:48,-111.45062309934494,57.12586970109477,0.0,297.23
2010-03-11 19:00:26,-111.4501852006648,57.12682260061069,10.0,303.66
2010-03-11 22:01:55,-111.45214890010992,57.12695960096082,10.0,298.56
2010-03-12 01:00:43,-111.45224220009594,57.12717640105348,10.0,304.39
2010-03-12 04:00:44,-111.45151120017466,57.12763850043101,6.0,304.46
2010-03-12 07:00:45,-111.45168909976157,57.12795850060969,6.0,304.06
2010-03-12 10:00:43,-111.45328129918516,57.1281671005301,7.0,300.95
2010-03-12 13:00:44,-111.45332520073823,57.12840410053693,1.0,304.13
2010-03-12 16:00:44,-111.45013409958582,57.12664020049913,3.0,291.78
2010-03-12 19:00:43,-111.45010060056534,57.126695000987446,9.0,305.69
2010-03-12 22:00:48,-111.45249520037042,57.12728010054967,12.0,295.73
2010-03-13 01:00:26,-111.45437420024956,57.128995700916526,9.0,299.66
2010-03-13 04:00:44,-111.45410249992122,57.12888240045509,7.0,301.86
2010-03-13 07:00:48,-111.45374080029896,57.12885000086144,5.0,298.24
2010-03-13 10:00:26,-111.4532504999384,57.12814340127234,5.0,295.51
2010-03-13 13:00:26,-111.45301560005204,57.12805100105471,3.0,300.97
2010-03-13 16:00:48,-111.45599719968382,57.129586500849925,6.0,308.34
2010-03-13 19:00:24,-111.45700520040891,57.13058430123828,9.0,294.87
2010-03-13 22:00:42,-111.46161900049856,57.13168540107302,11.0,293.03
2010-03-14 01:01:21,-111.46385199924536,57.13329850112861,8.0,294.82
2010-03-14 04:00:26,-111.46302320059426,57.134762701116166,5.0,298.99
2010-03-14 07:00:25,-111.46315839956208,57.13502060096125,0.0,289.97
2010-03-14 10:00:43,-111.46236679974672,57.13510770101747,1.0,297.98
2010-03-14 13:00:43,-111.46251169969968,57.135039501113056,-1.0,300.51
2010-03-14 16:00:43,-111.46120949994037,57.13488090053792,1.0,295.25
2010-03-14 19:00:23,-111.455335300815,57.1294961011522,10.0,299.36
2010-03-14 22:00:41,-111.44657719973874,57.126414701211935,12.0,300.86
2010-03-15 01:01:23,-111.4470711993266,57.12707860102789,11.0,310.23
