timestamp,longitude,latitude,external-temperature,gps:dop,gps:fix-type,altitude,tag-voltage,modeled
2010-03-06 00:00:00,-111.3999667995046,57.371726200471024,7.0,3.6,3.0,310.47,3360.0,False
2010-03-06 03:00:00,-111.39998625408866,57.371595178515,6.338272062227984,3.864691175108806,3.0,305.6724724511529,3360.0,False
2010-03-06 06:00:00,-111.40003716275646,57.37146963506229,4.676481481481481,4.397055555555555,3.0,294.822275,3360.0,False
2010-03-06 09:00:00,-111.4000046072301,57.37196497835071,2.687299109192764,3.6811093764349354,3.0,303.7292074570668,3307.4919643677104,False
2010-03-06 12:00:00,-111.40008242002789,57.37223598685823,2.0,2.6735291375291377,3.0,313.2723543123543,3280.0,False
2010-03-06 15:00:00,-111.3984807775578,57.37034917669357,3.3238678544914624,5.047735708982925,3.0,313.8456792873052,3332.9547141796584,False
2010-03-06 18:00:00,-111.39713278164696,57.36914578121614,6.650740740740741,6.4,3.0,323.5260685185185,3360.0,False
2010-03-06 21:00:00,-111.39766686218088,57.36854578040524,9.987319511292114,3.882728619029989,3.0,317.0871760459089,3360.0,False
2010-03-07 00:00:00,-111.39738633254368,57.36879931228969,8.352456741001202,2.46762283705006,3.0,322.91861663736466,3360.0,False
2010-03-07 03:00:00,-111.39533534953796,57.36951614379214,5.012976179442024,2.5324682547038653,3.0,321.8428186115488,3360.0,False
2010-03-07 06:00:00,-111.39449310463982,57.36945392691946,2.68195211786372,16.044088397790055,3.0,316.03226979742175,3307.2780847145486,False
2010-03-07 09:00:00,-111.39434859610058,57.36923543694146,2.0,9.401432424890707,3.0,321.81470746907263,3332.809971165473,False
2010-03-07 12:00:00,-111.39456499024594,57.36907754954437,2.0,1.87012698118454,3.0,323.2737547502085,3360.0,False
2010-03-07 15:00:00,-111.39467347072812,57.36958409057118,2.0,3.4536305614651748,3.0,319.27391175654424,3307.0391268152807,False
2010-03-07 18:00:00,-111.39463543582622,57.37005722895189,8.624026696329256,3.87007786429366,3.0,323.67538375973305,3332.9922135706342,False
2010-03-07 21:00:00,-111.3963923702384,57.371434296179096,13.32408435072142,2.9379578246392897,3.0,320.0066148723641,3360.0,False
2010-03-08 00:00:00,-111.39563162749003,57.37273849572146,10.68982768204558,2.3351862145636466,3.0,323.80955530850474,3360.0,False
2010-03-08 03:00:00,-111.39497933656963,57.37290588403613,6.350865820909343,5.378961014908787,3.0,327.3641661264932,3360.0,False
2010-03-08 06:00:00,-111.39498654204466,57.37284658436814,4.337439792515746,4.217247128566136,3.0,320.85328918117824,3360.0,False
2010-03-08 09:00:00,-111.39494195100067,57.37279827085116,3.3373761688732526,2.4024257013239514,3.0,316.3839033422831,3360.0,False
2010-03-08 12:00:00,-111.3949656504076,57.37299841833611,3.0,3.3867330016583748,3.0,322.79491063202505,3307.2563110374053,False
2010-03-08 15:00:00,-111.39334714850966,57.37369193237052,3.660528273809524,3.7357886904761903,3.0,312.93861793154764,3280.0,False
2010-03-08 18:00:00,-111.3901095683735,57.37410109869734,6.650356778797146,3.202446483180428,3.0,312.0329357798165,3333.007135575943,False
2010-03-08 21:00:00,-111.38803785337632,57.374281222674725,6.675117979087628,3.132488202091237,3.0,318.9885287313778,3360.0,False
2010-03-09 00:00:00,-111.38743506781285,57.37435670417179,4.676290949472515,2.670516379789006,3.0,351.455019433648,3307.0516379789005,False
2010-03-09 03:00:00,-111.3869378468189,57.37433528492524,2.675317452961349,4.784428584669571,3.0,337.5823069793308,3332.987301881546,False
2010-03-09 06:00:00,-111.38710727867677,57.37420538648741,0.6775683665927568,4.545325203252032,3.0,319.02588322246856,3307.10273466371,False
2010-03-09 09:00:00,-111.3876948923134,57.37443785568014,-1.9755354505169864,3.536595273264401,3.0,326.1328351181684,3280.0,False
2010-03-09 12:00:00,-111.3875530979302,57.3743561437965,-2.339503302018417,2.7395033020184165,3.0,331.68469537717425,3280.0,False
2010-03-09 15:00:00,-111.38694758436276,57.37426857868541,-2.0,2.7972590054634687,3.0,328.2933456801556,3280.0,False
2010-03-09 18:00:00,-111.38631463225364,57.37448305790305,1.9757227575982208,2.469903632320237,3.0,337.3725092661231,3280.0,False
2010-03-09 21:00:00,-111.38668051662955,57.37453313323735,8.627239150507847,3.5220683287165286,3.0,327.7829935364728,3332.882733148661,False
2010-03-10 00:00:00,-111.38744441576978,57.3745636939248,8.355466938699806,3.0099601224149124,3.0,341.0635398312158,3360.0,False
2010-03-10 03:00:00,-111.38823305968718,57.37417482497796,3.0277932184546974,2.4,3.0,328.2155086158977,3307.037242912729,False
2010-03-10 06:00:00,-111.38869370566547,57.37389830759451,1.0,2.5324812447902194,3.0,314.35150319533204,3280.0,False
2010-03-10 09:00:00,-111.38922397566176,57.37378593872318,2.3238967527060783,2.2028309741881764,3.0,316.0149791840133,3280.0,False
2010-03-10 12:00:00,-111.38942952762096,57.373785583312085,1.6759310728182324,3.7212896053362976,3.0,326.22774319066144,3332.962757087271,False
2010-03-10 15:00:00,-111.38943632587508,57.37377358379232,1.663635520089079,2.874547647768396,3.0,320.49028579382014,3360.0,False
2010-03-10 18:00:00,-111.3895060795758,57.37356727951177,7.314322747893713,2.132858068697343,3.0,315.3995722618276,3360.0,False
2010-03-10 21:00:00,-111.3899376521943,57.37325788802163,10.0,2.465728308176683,3.0,319.6385776460783,3360.0,False
2010-03-11 00:00:00,-111.39012434373636,57.37309142511604,7.346523668639053,3.263369082840237,3.0,322.771588387574,3360.0,False
2010-03-11 03:00:00,-111.3898979785514,57.37317488738,3.349254836619457,2.539701934647783,3.0,317.5842710358234,3360.0,False
