timestamp,month,day,external-temperature,longitude,latitude,altitude,id
2012-10-14 19:01:21,10,14,10.0,-111.33040049986622,57.45874250127019,255.68,original
2012-10-14 22:00:54,10,14,13.0,-111.33077590069446,57.45846990057324,264.38,original
2012-10-15 01:00:56,10,15,11.0,-111.3318926996507,57.46190080054945,273.24,original
2012-10-15 04:00:50,10,15,10.0,-111.32981139937228,57.4620229008629,265.74,original
2012-10-15 07:00:44,10,15,11.0,-111.32955919954672,57.46199560093547,281.92,original
2012-10-15 10:00:43,10,15,8.0,-111.33216169964368,57.46142380077974,271.55,original
2012-10-15 13:00:44,10,15,9.0,-111.33214199950392,57.46146960071594,264.73,original
2012-10-15 16:01:50,10,15,11.0,-111.33059009918544,57.458755400557465,270.19,original
2012-10-15 19:01:06,10,15,13.0,-111.33485229948153,57.45688450108727,269.1,original
2012-10-15 22:01:23,10,15,15.0,-111.33638409983394,57.454649000656936,269.02,original
2012-10-16 01:02:22,10,16,13.0,-111.3395032000599,57.45580680048956,269.77,original
2012-10-16 04:01:21,10,16,11.0,-111.3392269002942,57.45391560076629,268.95,original
2012-10-16 07:01:00,10,16,5.0,-111.33432810048288,57.45356740038349,264.05,original
2012-10-16 10:00:54,10,16,6.0,-111.337628800617,57.454436000628206,290.1,original
2012-10-16 13:00:55,10,16,6.0,-111.33911810002684,57.45496550040493,273.81,original
2012-10-16 16:02:21,10,16,6.0,-111.3403032994884,57.45640570122063,273.47,original
2012-10-16 19:01:00,10,16,9.0,-111.33876760049904,57.457056400863046,284.17,original
2012-10-16 22:02:47,10,16,9.0,-111.34059800019196,57.457355000587896,278.37,original
2012-10-17 01:01:50,10,17,5.0,-111.343244999164,57.4606565004363,277.44,original
2012-10-17 04:02:17,10,17,8.0,-111.34320100079194,57.46010580083612,301.15,original
2012-10-17 07:01:54,10,17,7.0,-111.34372190044752,57.460604501156986,275.2,original
2012-10-17 10:02:26,10,17,5.0,-111.34451460080685,57.46055490122968,275.16,original
2012-10-17 13:00:46,10,17,7.0,-111.34462429973284,57.459937500921896,273.96,original
2012-10-17 16:02:24,10,17,9.0,-111.34541389936182,57.458244300574776,248.38,original
2012-10-17 19:02:52,10,17,9.0,-111.34541979917825,57.45753320091385,250.28,original
2012-10-17 22:01:41,10,17,9.0,-111.34803780036344,57.454986700752016,253.33,original
2012-10-18 01:01:24,10,18,6.0,-111.35920190077012,57.458359401083136,259.18,original
2012-10-18 04:01:54,10,18,6.0,-111.35580330067889,57.45901010072127,260.39,original
2012-10-18 07:01:51,10,18,4.0,-111.3560544007825,57.45871120101789,259.09,original
2012-10-18 10:00:50,10,18,3.0,-111.35637099940692,57.45638380046966,267.91,original
2012-10-18 13:00:54,10,18,2.0,-111.35633740021676,57.4561254006612,273.23,original
2012-10-18 16:02:29,10,18,5.0,-111.35931220061198,57.45288800078903,273.19,original
2012-10-18 19:02:22,10,18,8.0,-111.35694470011865,57.44992140088104,272.9,original
2012-10-18 22:02:54,10,18,12.0,-111.35694020029666,57.44748110127728,271.99,original
2012-10-19 01:02:26,10,19,8.0,-111.35693699980834,57.44704200106603,283.04,original
2012-10-19 04:02:30,10,19,9.0,-111.35710409943133,57.44753280097248,280.18,original
2012-10-19 07:00:55,10,19,8.0,-111.35629900034132,57.44736420114657,281.49,original
2012-10-19 10:01:26,10,19,6.0,-111.35574199961118,57.44766700080608,329.96,original
2012-10-19 13:00:55,10,19,6.0,-111.3588998998613,57.45793510105432,291.71,original
2012-10-19 16:01:24,10,19,6.0,-111.3587159993934,57.4570242009233,292.38,original
2012-10-19 19:01:23,10,19,9.0,-111.35918619945456,57.45677070067443,292.61,original
2012-10-19 22:00:54,10,19,10.0,-111.36106930001728,57.45467740050381,272.93,original
2012-10-20 01:01:12,10,20,8.0,-111.35996630048344,57.4578928008192,270.99,original
2012-10-20 04:00:26,10,20,8.0,-111.3558625005917,57.45779140041357,275.82,original
2012-10-20 07:00:50,10,20,7.0,-111.356036599932,57.45773940102552,278.33,original
2012-10-20 10:00:44,10,20,4.0,-111.35824049988196,57.45884070091707,265.31,original
2012-10-20 13:01:53,10,20,7.0,-111.35710330057836,57.45874710054469,267.21,original
2012-10-20 16:01:24,10,20,8.0,-111.35631020081362,57.45832360112309,266.47,original
2012-10-20 19:01:23,10,20,6.0,-111.35711839927134,57.45800700051595,266.43,original
2012-10-20 22:02:58,10,20,8.0,-111.35710009972496,57.45823070055373,264.77,original
2012-10-21 01:00:54,10,21,4.0,-111.357046900339,57.45805680117316,270.01,original
2012-10-21 04:00:56,10,21,5.0,-111.35716029930018,57.457866601251446,265.73,original
2012-10-21 07:01:31,10,21,3.0,-111.35681280068968,57.45818930044263,262.97,original
2012-10-21 10:01:24,10,21,6.0,-111.35679059941494,57.4580388008364,273.66,original
2012-10-21 13:00:56,10,21,6.0,-111.35633979959668,57.45843820039582,267.81,original
2012-10-21 16:01:24,10,21,6.0,-111.35688030039184,57.45795220065816,258.46,original
2012-10-21 19:00:49,10,21,7.0,-111.35714429924334,57.45712230075255,262.87,original
2012-10-21 22:01:43,10,21,4.0,-111.35870179976378,57.457098600900096,278.79,original
2012-10-22 01:00:47,10,22,3.0,-111.35385519961316,57.4519196012511,273.22,original
2012-10-22 04:03:08,10,22,2.0,-111.35537949972776,57.44994590074813,274.72,original
2012-10-22 07:01:53,10,22,3.0,-111.35691929957042,57.45100060092012,274.49,original
2012-10-22 10:01:23,10,22,5.0,-111.35675209954312,57.451004400471454,271.85,original
2012-10-22 13:01:11,10,22,4.0,-111.35546659926143,57.45116400044989,273.55,original
